


Sentence : APPENDIX E: POTENTIALLY TARGETED VENDORS
Note To obtain the latest version of this list check our malware-research github page
We have cross-referenced the list of usernames and passwords that Moose uses in order to spread
with a list of vendors known to have these as default credentials and confirmed that some of their
products have Telnet access enabled. Here is the list of potentially targeted vendors we’ve come
up using this methodology:
Network equipment vendors
3Com, Alcatel-Lucent, Allied Telesis, Avaya, Belkin, Brocade, Buffalo, Celerity, Cisco,
D-link, Enterasys, Hewlett-Packard, Huawei, Linksys, Mikrotik, Netgear, Meridian, Nortel,
SpeedStream, Thomson, TP-Link, Zhone, ZyXEL
Appliances vendors
APC, Brother, Konica/Minolta, Kyocera, Microplex, Ricoh, Toshiba, Xerox
Internet of Things vendors
Hik Vision, Leviton
Keep in mind that this is a list of potentially targeted vendors. Current Moose versions need some
Unix-type shell access in order to infect a machine where it successfully logged in. On some devices
this type of access is hidden behind another set of credentials or tech-support secret passwords.
Moose doesn’t target these environments. Since we don’t have access to the hardware for testing
we couldn’t validate this aspect in the above lists.
If you have access to any of this hardware please let us know:


Is Telnet enabled by default?


Can you login with the default credentials via Telnet?


What make and model do you have?


What happens if you type in ~~sh~~ and then Enter on the default prompt?


If the credentials can be used via Telnet to login, if Telnet is enabled by default and if a shell access
can be obtained by typing ~~sh~~ in the device’s prompt, then these are very good indicators that a device
could be infected by Linux/Moose.
The last list below contains vendors that were correlated using the default credentials list
as previously mentioned but that we were not able to gather information about if they had Telnet
access enabled or not.
Ericsson, F5 Networks, Fortinet, Siemens, LSI Corporation, Maxim Integrated, Accelerated
Network, Quantum, Advantek, Airtel, AirTies, Radware, Ubee Interactive, AOC, Applied
Innovations, Arescom, ARtem, Asante, Ascend, ATL, Atlantis, AVM, Avocent, Axis, Aztech, Bay
Networks, Bintec, BMC, Broadlogic, Canyon, Cellit, Ciphertrust, CNet, Compaq, Comtrend,
Conceptronic, Conexant, Corecess, CTC Union, Cyclades, Davox, Demarc, Digicom, Draytek,
Dynalink, E-Con, Efficient, Everfocus, Flowpoint, Gericom, IBM, iDirect, Inchon, Infacta,
Infoblox, INOVA, Interbase, Intermec, Intracom, JD Edwards, Kasda, KTI, Lantronix, Laxo, LG,
Livingston, Marconi, McAfee, McData, Mentec, Micronet, Milan, Motorola, Mro software,
Netopia, Netport, Netscreen, Netstar, Niksun, Nokia, NOMADIX, Olitec(trendchip),
OpenConnect, Osicom, Overland, Ovislink, Pansonic, Phoenix, Pirelli, Planet, Ptcl, QLogic,
Quintum Technologies, RM, RoamAbout, Sagem, Samsung, Server TechnologyPower, Sharp,
Signamax, Siips, Silex Technology, Simple Smdr, Sitecom, Smartswitch, SMC, Sonic-X, Spectra
Logic, SpeedXess, Sphairon, SSA, Stratacom, Swissvoice, Symbol, System/32, Tandem, Telewell,
Telindus, Tellabs, Topsec, Troy, TVT System, U.S. Robotics, Unisys, VASCO, VxWorks, Wang,
Weidmüeller, Westell, X-Micro, xd, Xylan, Xyplex, Zebra, ZTE
If you know that a particular vendor make and model that could be affected please contact us and
contact them.
52
Output : 
{
    "nodes": [
        {"id": 1, "description": "Moose", "type" : "ACTO"},
        {"id": 2, "description": "3Com", "type" : "VEND"},
        {"id": 3, "description": "Alcatel-Lucent", "type" : "VEND"},
        {"id": 4, "description": "Allied Telesis", "type" : "VEND"},
        {"id": 5, "description": "Avaya", "type" : "VEND"},
        {"id": 6, "description": "Belkin", "type" : "VEND"},
        {"id": 7, "description": "Brocade", "type" : "VEND"},
        {"id": 8, "description": "Buffalo", "type" : "VEND"},
        {"id": 9, "description": "Celerity", "type" : "VEND"},
        {"id": 10, "description": "Cisco", "type" : "VEND"},
        {"id": 11, "description": "D-link", "type" : "VEND"},
        {"id": 12, "description": "Enterasys", "type" : "VEND"},
        {"id": 13, "description": "Hewlett-Packard", "type" : "VEND"},
        {"id": 14, "description": "Huawei", "type" : "VEND"},
        {"id": 15, "description": "Linksys", "type" : "VEND"},
        {"id": 16, "description": "Mikrotik", "type" : "VEND"},
        {"id": 17, "description": "Netgear", "type" : "VEND"},
        {"id": 18, "description": "Meridian", "type" : "VEND"},
        {"id": 19, "description": "Nortel", "type" : "VEND"},
        {"id": 20, "description": "SpeedStream", "type" : "VEND"},
        {"id": 21, "description": "Thomson", "type" : "VEND"},
        {"id": 22, "description": "TP-Link", "type" : "VEND"},
        {"id": 23, "description": "Zhone", "type" : "VEND"},
        {"id": 24, "description": "ZyXEL", "type" : "VEND"},
        {"id": 25, "description": "APC", "type" : "VEND"},
        {"id": 26, "description": "Brother", "type" : "VEND"},
        {"id": 27, "description": "Konica/Minolta", "type" : "VEND"},
        {"id": 28, "description": "Kyocera", "type" : "VEND"},
        {"id": 29, "description": "Microplex", "type" : "VEND"},
        {"id": 30, "description": "Ricoh", "type" : "VEND"},
        {"id": 31, "description": "Toshiba", "type" : "VEND"},
        {"id": 32, "description": "Xerox", "type" : "VEND"},
        {"id": 33, "description": "Hik Vision", "type" : "VEND"},
        {"id": 34, "description": "Leviton", "type" : "VEND"},
        {"id": 35, "description": "Telnet", "type" : "NETP"},
        {"id": 36, "description": "Unix-type shell access", "type" : "OPPS"},
        {"id": 37, "description": "sh command", "type" : "EXEF"}
    ],
    "edges": [
        {"source": 1, "target": 2, "rel_name" : "targets"},
        {"source": 1, "target": 3, "rel_name" : "targets"},
        {"source": 1, "target": 4, "rel_name" : "targets"},
        {"source": 1, "target": 5, "rel_name" : "targets"},
        {"source": 1, "target": 6, "rel_name" : "targets"},
        {"source": 1, "target": 7, "rel_name" : "targets"},
        {"source": 1, "target": 8, "rel_name" : "targets"},
        {"source": 1, "target": 9, "rel_name" : "targets"},
        {"source": 1, "target": 10, "rel_name" : "targets"},
        {"source": 1, "target": 11, "rel_name" : "targets"},
        {"source": 1, "target": 12, "rel_name" : "targets"},
        {"source": 1, "target": 13, "rel_name" : "targets"},
        {"source": 1, "target": 14, "rel_name" : "targets"},
        {"source": 1, "target": 15, "rel_name" : "targets"},
        {"source": 1, "target": 16, "rel_name" : "targets"},
        {"source": 1, "target": 17, "rel_name" : "targets"},
        {"source": 1, "target": 18, "rel_name" : "targets"},
        {"source": 1, "target": 19, "rel_name" : "targets"},
        {"source": 1, "target": 20, "rel_name" : "targets"},
        {"source": 1, "target": 21, "rel_name" : "targets"},
        {"source": 1, "target": 22, "rel_name" : "targets"},
        {"source": 1, "target": 23, "rel_name" : "targets"},
        {"source": 1, "target": 24, "rel_name" : "targets"},
        {"source": 1, "target": 25, "rel_name" : "targets"},
        {"source": 1, "target": 26, "rel_name" : "targets"},
        {"source": 1, "target": 27, "rel_name" : "targets"},
        {"source": 1, "target": 28, "rel_name" : "targets"},
        {"source": 1, "target": 29, "rel_name" : "targets"},
        {"source": 1, "target": 30, "rel_name" : "targets"},
        {"source": 1, "target": 31, "rel_name" : "targets"},
        {"source": 1, "target": 32, "rel_name" : "targets"},
        {"source": 1, "target": 33, "rel_name" : "targets"},
        {"source": 1, "target": 34, "rel_name" : "targets"},
        {"source": 36, "target": 37, "rel_name" : "uses"}
    ]
}
